"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0021828","gonadotrophin-releasing hormone neuronal migration to the hypothalamus",0.00163694773299288,5,0.689962789805552,0.848571306184702,1,446787,2,7,4.15729060120468,0.078650744216685,0.486282957758313
"GO:0021856","hypothalamic tangential migration using cell-axon interactions",0.00163694773299288,5,0.689962789805552,0.848571306184702,1,446787,2,7,4.15729060120468,0.078650744216685,0.486282957758313
"GO:0022410","circadian sleep/wake cycle process",0.00350999199326139,12,0.772263658804897,0.848893273007801,1,77553,4,34,1.71182554167252,0.202965788199819,0.615688834501575
"GO:0050729","positive regulation of inflammatory response",0.0119598020069983,46,0.868809017109054,0.848897720897612,1,358079,10,158,0.920918804064328,0.652259044602756,0.829276283726171
"GO:0043255","regulation of carbohydrate biosynthetic process",0.0112351395761204,43,0.864530782723054,0.849567244312716,1,311096,10,121,1.20252207472863,0.319690924241899,0.678084915329494
"GO:0010970","transport along microtubule",0.0131796014610279,51,0.874094477379006,0.849971801120705,1,242349,14,176,1.1574274969263,0.324566807745668,0.678585329355418
"GO:0045922","negative regulation of fatty acid metabolic process",0.00272840901966165,9,0.745115350986144,0.850414861347483,1,536338,4,39,1.49236072863758,0.278826172299424,0.656724913582535
"GO:0032231","regulation of actin filament bundle assembly",0.0107536221961235,41,0.861230814416747,0.85042342341084,1,382804,6,104,0.839452909858638,0.727831126898926,0.866528871546354
"GO:0080164","regulation of nitric oxide metabolic process",0.00631378249794309,23,0.822865202428513,0.850427639921447,1,275218,7,82,1.24211731377457,0.333049506798201,0.684109416109954
"GO:0071880","adenylate cyclase-activating adrenergic receptor signaling pathway",0.00272959681502038,9,0.744791110955254,0.850750115136163,1,417185,4,18,3.23344824538142,0.0312754573556966,0.383805997190677
"GO:0042487","regulation of odontogenesis of dentin-containing tooth",0.00164387800458073,5,0.687054040186944,0.851065913116426,1,74298,3,12,3.6376292760541,0.0446227859960247,0.413225714691663
"GO:0046627","negative regulation of insulin receptor signaling pathway",0.00480731993176771,17,0.79879690518154,0.851830264389711,1,381663,3,46,0.948946767666286,0.621050714233632,0.81770253598959
"GO:0022409","positive regulation of cell-cell adhesion",0.0306002209752154,124,0.915350873881051,0.852190774982844,1,340909,24,310,1.12649164677804,0.301343967243758,0.656724913582535
"GO:0008299","isoprenoid biosynthetic process",0.0019247507242524,6,0.704153328775806,0.852219076327445,1,39755,2,28,1.03932265030117,0.582563667917365,0.79912574223345
"GO:0140352","export from cell",0.0948565236511453,400,0.952540094153453,0.852833744932473,1,269752,90,990,1.32277428220149,0.00373298370569203,0.237740070947515
"GO:0072075","metanephric mesenchyme development",0.00274022762744086,9,0.741901666839838,0.853724154747131,1,162313,2,12,2.42508618403606,0.19760317285674,0.609361330729612
"GO:0048701","embryonic cranial skeleton morphogenesis",0.00507265899607444,18,0.801543902672033,0.854161292406035,1,370905,5,46,1.58157794611048,0.20690100364208,0.615688834501575
"GO:0009247","glycolipid biosynthetic process",0.00583210334566939,21,0.813363279464732,0.854325803644803,1,104587,7,67,1.520203279545,0.175495076973267,0.587767276692831
"GO:0007565","female pregnancy",0.0173107717422297,68,0.887325496724262,0.854355344733236,1,199185,14,209,0.974675786885308,0.579376088403525,0.798644573473292
"GO:0019218","regulation of steroid metabolic process",0.0122425720341342,47,0.867192808981847,0.854383163844527,1,350554,10,117,1.24363394053132,0.283658793874285,0.656724913582535
"GO:0009260","ribonucleotide biosynthetic process",0.00955992083049403,36,0.850626058673707,0.85490034511265,1,204939,12,152,1.1487250345434,0.35222491975911,0.686489224423375
"GO:0036159","inner dynein arm assembly",0.00165574848499219,5,0.682128375691656,0.855259332299414,1,37146,1,19,0.765816689695599,0.741671976818231,0.873005922541086
